Index;Season;Episode;Episode_name;Character_name;Character_race;Gender;Dialogue
1;1;1;Cruelty;Tanjiro;Human;Male;How? How did this happen? Nezuko, don't die! Don't die on me! I'm gonna save you no matter what! I won't let you die! I swear your big brother will save you no matter what!
2;1;1;Cruelty;Kie Kamado;Human;Female;Tanjiro? Your face is covered in soot. Come over here. It's dangerous with all this snow. You don't have to go, you know.
3;1;1;Cruelty;Tanjiro;Human;Male;Well, I want everyone to eat their fill on New Year's, so I'm gonna sell as much charcoal as I can.
4;1;1;Cruelty;Kie Kamado;Human;Female;Thank you.
5;1;1;Cruelty;Shigeru Kamado;Human;Male;Big Bro! You're going to town again today?
6;1;1;Cruelty;Hanako Kamado;Human;Female;I'm going with you!
7;1;1;Cruelty;Kie Kamado;Human;Female;Oh no, you're not. You know you can't walk fast like Tanjiro.
8;1;1;Cruelty;Shigeru Kamado;Human;Male;Mom!
9;1;1;Cruelty;Kie Kamado;Human;Female;You may not. Since he can't use the cart today, he won't be able to give you a ride when you're tired.
10;1;1;Cruelty;Shigeru Kamado;Human;Male;Big Bro!
11;1;1;Cruelty;Hanako Kamado;Human;Female;I wanna go with you! I promise I'll help you!
12;1;1;Cruelty;Tanjiro;Human;Male;Thanks, Hanako. But you're staying home today. You, too, Shigeru. But I'll get you tons of goodies, okay?
13;1;1;Cruelty;Shigeru Kamado;Human;Male;Really?
14;1;1;Cruelty;Tanjiro;Human;Male;Yeah. And Hanako, I'll read for you when I'm back.
15;1;1;Cruelty;Hanako Kamado;Human;Female;Okay!
16;1;1;Cruelty;Tanjiro;Human;Male;That's a good girl.
17;1;1;Cruelty;Kie Kamado;Human;Female;Thank you so much, Tanjiro.
18;1;1;Cruelty;Tanjiro;Human;Male;Sure. Okay, I'll be heading out now. Takeo... Will you chop as much wood as you can?
19;1;1;Cruelty;Takeo Kamado;Human;Male;Sure, I'll do it, but... I was hoping we could do it together.
20;1;1;Cruelty;Tanjiro;Human;Male;There, there.
21;1;1;Cruelty;Takeo Kamado;Human;Male;What's with that all of a sudden?
22;1;1;Cruelty;Shigeru Kamado;Human;Male;You're blushing, Take!
23;1;1;Cruelty;Takeo Kamado;Human;Male;Hey, you shut up!
24;1;1;Cruelty;Tanjiro;Human;Male;There, there.
25;1;1;Cruelty;Takeo Kamado;Human;Male;I said cut it out!
26;1;1;Cruelty;Hanako Kamado;Human;Female;Hurry back, okay? Be safe, okay?
27;1;1;Cruelty;Nezuko;Demon;Female;Big Brother!
28;1;1;Cruelty;Tanjiro;Human;Male;Hey, Nezuko.
29;1;1;Cruelty;Nezuko;Demon;Female;I was putting Rokuta down for a nap, or he'd make a scene when you leave. He misses Dad a lot after he passed away. And everyone follows you wherever you go. See you later!
30;1;1;Cruelty;Tanjiro;Human;Male;We don't have an easy life, but we're happy. But life could change suddenly like the weather. It shifts and moves on. It's not like it always stays sunny, and it's not like it ever snows endlessly. And... whenever happiness is destroyed, there's always... the smell of blood.
31;1;1;Cruelty;Old Lady 1;Human;Female;Well now, Tanjiro! I can't believe you came down from the mountain on a day like this. You're such a hard worker! You might catch a cold, you know?
32;1;1;Cruelty;Tanjiro;Human;Male;This is nothing, really. Do you have enough charcoal?
33;1;1;Cruelty;Old Man 1;Human;Male;Hey, Tanjiro! Can I have some charcoal? Thanks for fixing my sliding doors the other day.
34;1;1;Cruelty;Old Man 2;Human;Male;I'll need some charcoal, too!
35;1;1;Cruelty;Young Man 1;Human;Male;Tanjiro! Oh man, perfect timing! I've been accused of breaking this plate! Help me out, will you? Sniff it!
36;1;1;Cruelty;Tanjiro;Human;Male;I smell a cat.
37;1;1;Cruelty;Young Man 1;Human;Male;You see?
#N/A
39;1;1;Cruelty;Young Man 1;Human;Male;I told you it wasn't me!
40;1;1;Cruelty;Old Man 3;Human;Male;Tanjiro! Can you give me a hand with this luggage?
